matricula,nome,situacao,data_matricula,cidade,site,email,telefone,uf,junta_comercial,fonte
11/01/2024,Helcio Kronberg,regular,11/01/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/01/2024,Joyce Ribeiro,regular,15/01/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/01/2024,Adaiana Garcia,regular,15/01/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/02/2024,Renan Augusto Fernandes Guimarães,regular,06/02/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/02/2024,Monique Kristy Furtado,regular,06/02/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/02/2024,Lucas Bernardes Da Silva,regular,06/02/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
08/02/2024,Alvaro Marques Teixeira,regular,08/02/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
16/02/2024,Brian Galvão Frota,regular,16/02/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/02/2024,Vanessa Goelzer De Araújo Vargas E Pinto,regular,23/02/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/03/2024,Geraldo Von Zuccalmaglio,regular,06/03/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
01/04/2024,Dionei Scottini,regular,01/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
01/04/2024,Murilo Paes Lopes Lourenço,regular,01/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
01/04/2024,Kamila Biancart Candido,regular,01/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
01/04/2024,Priscila Francieli Weigsding Coelho,cancelado,01/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
01/04/2024,Tiago Lopes Alegranzzi,regular,01/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
03/04/2024,Valeria Rosane Almeida Ignacio,regular,03/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
03/04/2024,Diego Costa Muller,regular,03/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
03/04/2024,Elton Luiz Simon,regular,03/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
03/04/2024,Ivone Foresti Shehadeh,regular,03/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/04/2024,Cinthia Cassiane Sens,regular,15/04/2024,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
